WellName,phase,prod_date,cum_prod
TEMPLE FORK 32-20 J 12WB,Oil,2024-11-01,137655.2979346364
TEMPLE FORK 32-20 J 12WB,Oil,2024-12-01,163640.10445517133
TEMPLE FORK 32-20 J 12WB,Oil,2025-01-01,189624.91097570627
TEMPLE FORK 32-20 J 12WB,Oil,2025-02-01,205814.4074279233
TEMPLE FORK 32-20 J 12WB,Oil,2025-03-01,222003.90388014034
TEMPLE FORK 32-20 J 12WB,Oil,2025-04-01,238193.40033235736
TEMPLE FORK 32-20 J 12WB,Oil,2025-05-01,247660.57344833954
TEMPLE FORK 32-20 J 12WB,Oil,2025-06-01,257127.74656432171
TEMPLE FORK 32-20 J 12WB,Oil,2025-07-01,266594.9196803039
TEMPLE FORK 32-20 J 12WB,Water,2024-10-01,126533.98749703252
TEMPLE FORK 32-20 J 12WB,Water,2024-11-01,156574.60895254675
TEMPLE FORK 32-20 J 12WB,Water,2024-12-01,186615.230408061
TEMPLE FORK 32-20 J 12WB,Water,2025-01-01,216655.85186357523
TEMPLE FORK 32-20 J 12WB,Water,2025-02-01,235908.04779615416
TEMPLE FORK 32-20 J 12WB,Water,2025-03-01,255160.2437287331
TEMPLE FORK 32-20 J 12WB,Water,2025-04-01,274412.43966131203
TEMPLE FORK 32-20 J 12WB,Water,2025-05-01,285950.7794571497
TEMPLE FORK 32-20 J 12WB,Water,2025-06-01,297489.11925298726
TEMPLE FORK 32-20 J 12WB,Water,2025-07-01,309027.4590488249
TEMPLE FORK 32-20 M 16WB,Gas,2024-10-01,120450.80360642885
TEMPLE FORK 32-20 M 16WB,Gas,2024-11-01,155731.86985495884
TEMPLE FORK 32-20 M 16WB,Gas,2024-12-01,191012.93610348884
TEMPLE FORK 32-20 M 16WB,Gas,2025-01-01,226294.0023520188
TEMPLE FORK 32-20 M 16WB,Gas,2025-02-01,252056.4484515876
TEMPLE FORK 32-20 M 16WB,Gas,2025-03-01,277818.8945511564
TEMPLE FORK 32-20 M 16WB,Gas,2025-04-01,303581.3406507252
TEMPLE FORK 32-20 M 16WB,Gas,2025-05-01,336540.9643277146
TEMPLE FORK 32-20 M 16WB,Gas,2025-06-01,369500.58800470404
TEMPLE FORK 32-20 M 16WB,Gas,2025-07-01,402460.21168169344
TEMPLE FORK 32-20 M 16WB,Oil,2024-10-01,74461.77969423756
TEMPLE FORK 32-20 M 16WB,Oil,2024-11-01,86567.88187638835
TEMPLE FORK 32-20 M 16WB,Oil,2024-12-01,98673.98405853914
TEMPLE FORK 32-20 M 16WB,Oil,2025-01-01,110780.08624068993
TEMPLE FORK 32-20 M 16WB,Oil,2025-02-01,119929.43943551548
TEMPLE FORK 32-20 M 16WB,Oil,2025-03-01,129078.79263034105
TEMPLE FORK 32-20 M 16WB,Oil,2025-04-01,138228.1458251666
TEMPLE FORK 32-20 M 16WB,Oil,2025-05-01,147998.95465830393
TEMPLE FORK 32-20 M 16WB,Oil,2025-06-01,157769.76349144126
TEMPLE FORK 32-20 M 16WB,Oil,2025-07-01,167540.5723245786
TEMPLE FORK 32-20 M 16WB,Water,2024-10-01,105035.67228537828
TEMPLE FORK 32-20 M 16WB,Water,2024-11-01,122332.94133019731
TEMPLE FORK 32-20 M 16WB,Water,2024-12-01,139630.21037501632
TEMPLE FORK 32-20 M 16WB,Water,2025-01-01,156927.47941983535
TEMPLE FORK 32-20 M 16WB,Water,2025-02-01,170314.1251796681
TEMPLE FORK 32-20 M 16WB,Water,2025-03-01,183700.77093950086
TEMPLE FORK 32-20 M 16WB,Water,2025-04-01,197087.4166993336
TEMPLE FORK 32-20 M 16WB,Water,2025-05-01,211617.4049392395
TEMPLE FORK 32-20 M 16WB,Water,2025-06-01,226147.3931791454
TEMPLE FORK 32-20 M 16WB,Water,2025-07-01,240677.3814190513
TEMPLE FORK 32-20 Q 20WB,Gas,2024-10-01,52851.13219094247
TEMPLE FORK 32-20 Q 20WB,Gas,2024-11-01,66119.95104039168
TEMPLE FORK 32-20 Q 20WB,Gas,2024-12-01,79388.76988984087
TEMPLE FORK 32-20 Q 20WB,Gas,2025-01-01,92657.58873929008
TEMPLE FORK 32-20 Q 20WB,Gas,2025-02-01,103023.76580987351
TEMPLE FORK 32-20 Q 20WB,Gas,2025-03-01,113389.94288045696
TEMPLE FORK 32-20 Q 20WB,Gas,2025-04-01,123756.1199510404
TEMPLE FORK 32-20 Q 20WB,Gas,2025-05-01,143554.6715626275
TEMPLE FORK 32-20 Q 20WB,Gas,2025-06-01,163353.2231742146
TEMPLE FORK 32-20 Q 20WB,Gas,2025-07-01,183151.7747858017
TEMPLE FORK 32-20 Q 20WB,Oil,2024-10-01,73063.80048959609
TEMPLE FORK 32-20 Q 20WB,Oil,2024-11-01,87087.66829865362
TEMPLE FORK 32-20 Q 20WB,Oil,2024-12-01,101111.53610771116
TEMPLE FORK 32-20 Q 20WB,Oil,2025-01-01,115135.40391676869
TEMPLE FORK 32-20 Q 20WB,Oil,2025-02-01,127658.60873113017
TEMPLE FORK 32-20 Q 20WB,Oil,2025-03-01,140181.81354549166
TEMPLE FORK 32-20 Q 20WB,Oil,2025-04-01,152705.01835985313
TEMPLE FORK 32-20 Q 20WB,Oil,2025-05-01,166480.26315789475
TEMPLE FORK 32-20 Q 20WB,Oil,2025-06-01,180255.5079559364
TEMPLE FORK 32-20 Q 20WB,Oil,2025-07-01,194030.752753978
TEMPLE FORK 32-20 Q 20WB,Water,2024-10-01,66311.19951040392
TEMPLE FORK 32-20 Q 20WB,Water,2024-11-01,79144.73684210527
TEMPLE FORK 32-20 Q 20WB,Water,2024-12-01,91978.27417380661
TEMPLE FORK 32-20 Q 20WB,Water,2025-01-01,104811.81150550795
TEMPLE FORK 32-20 Q 20WB,Water,2025-02-01,116479.7531619747
TEMPLE FORK 32-20 Q 20WB,Water,2025-03-01,128147.69481844147
TEMPLE FORK 32-20 Q 20WB,Water,2025-04-01,139815.6364749082
TEMPLE FORK 32-20 Q 20WB,Water,2025-05-01,152792.73765809875
TEMPLE FORK 32-20 Q 20WB,Water,2025-06-01,165769.83884128928
TEMPLE FORK 32-20 Q 20WB,Water,2025-07-01,178746.94002447982
TEMPLE FORK 32-20 X 24WB,Gas,2024-10-01,96029.04628766698
TEMPLE FORK 32-20 X 24WB,Gas,2024-11-01,127475.92420006213
TEMPLE FORK 32-20 X 24WB,Gas,2024-12-01,158922.80211245728
TEMPLE FORK 32-20 X 24WB,Gas,2025-01-01,190369.68002485245
TEMPLE FORK 32-20 X 24WB,Gas,2025-02-01,220185.87553070314
TEMPLE FORK 32-20 X 24WB,Gas,2025-03-01,250002.0710365538
TEMPLE FORK 32-20 X 24WB,Gas,2025-04-01,279818.2665424045
