WellName,prod_date,Gas_rate,Oil_rate,Water_rate
TEMPLE FORK 32-20 D 4WB,2024-07-01,1308.5604014850014,838.3019012550038,2960.9729215749253
TEMPLE FORK 32-20 D 4WB,2024-08-01,1255.286039507381,680.7958784494441,2616.050241502005
TEMPLE FORK 32-20 D 4WB,2024-09-01,1244.3199466887786,571.3126281441199,2388.3510641844423
TEMPLE FORK 32-20 D 4WB,2024-10-01,1155.155762346511,449.003629181054,2042.0640969137226
TEMPLE FORK 32-20 D 4WB,2024-11-01,1145.064400767435,376.79641072140413,1864.3242708505884
TEMPLE FORK 32-20 D 4WB,2024-12-01,1063.0125670847176,296.1302578342924,1594.015936601369
TEMPLE FORK 32-20 D 4WB,2025-01-01,1019.7349956242304,240.49123438219584,1408.3295883996273
TEMPLE FORK 32-20 D 4WB,2025-02-01,1083.0285649104585,216.23170895024978,1377.5888242083572
TEMPLE FORK 32-20 D 4WB,2025-03-01,938.3938952463732,158.61059157668817,1099.3287680289204
TEMPLE FORK 32-20 D 4WB,2025-04-01,930.1961504839765,133.1033820762187,1003.6439634672175
TEMPLE FORK 32-20 D 4WB,2025-05-01,863.5411223644559,104.60805286701725,858.1256476967901
TEMPLE FORK 32-20 D 4WB,2025-06-01,855.9972862964271,87.78534579940576,783.4349934746932
TEMPLE FORK 32-20 H 8WB,2024-07-01,1442.1970177722817,1290.882435096199,1936.5414528225454
TEMPLE FORK 32-20 H 8WB,2024-08-01,1442.1970177665728,1153.5807111164402,1737.527982288104
TEMPLE FORK 32-20 H 8WB,2024-09-01,1490.270251686226,1065.2455262972367,1610.9321772216028
TEMPLE FORK 32-20 H 8WB,2024-10-01,1442.197017755155,921.2353065973696,1398.7555635187211
TEMPLE FORK 32-20 H 8WB,2024-11-01,1490.2702516744273,850.6919191377293,1296.8426225704482
TEMPLE FORK 32-20 H 8WB,2024-12-01,1442.1970177437372,735.6871365335147,1126.034887736363
TEMPLE FORK 32-20 H 8WB,2025-01-01,1442.197017738028,657.4374761387969,1010.3151283557162
TEMPLE FORK 32-20 H 8WB,2025-02-01,1596.7181267750677,650.4582305539163,1003.6112671850045
TEMPLE FORK 32-20 H 8WB,2025-03-01,1442.1970177266103,525.021447622135,813.330157039373
TEMPLE FORK 32-20 H 8WB,2025-04-01,1490.2702516449312,484.81804775351,754.0711482263625
TEMPLE FORK 32-20 H 8WB,2025-05-01,1442.1970177151923,419.275642882652,654.7520924746416
TEMPLE FORK 32-20 H 8WB,2025-06-01,1490.270251633133,387.16970434941754,607.0470372981204
TEMPLE FORK 32-20 J 12WB,2024-07-01,1520.1047385445515,1306.4325686751104,1475.764872213438
TEMPLE FORK 32-20 J 12WB,2024-08-01,1418.065341339845,1132.3997029493812,1288.8656764030807
TEMPLE FORK 32-20 J 12WB,2024-09-01,1366.9713474540947,1014.2684910952853,1163.1576650118566
TEMPLE FORK 32-20 J 12WB,2024-10-01,1234.0754201976574,850.7956154552033,983.0794944671745
TEMPLE FORK 32-20 J 12WB,2024-11-01,1189.6107258454508,762.0411616769977,887.1959818936659
TEMPLE FORK 32-20 J 12WB,2024-12-01,1073.9576649529338,639.2205661945098,749.8417485512967
TEMPLE FORK 32-20 J 12WB,2025-01-01,1001.8665846632317,554.0685349048501,654.877555794037
TEMPLE FORK 32-20 J 12WB,2025-02-01,1034.7520229158151,531.7162073076502,633.2194679387665
TEMPLE FORK 32-20 J 12WB,2025-03-01,871.877261510453,416.28329549271035,499.5064328849111
TEMPLE FORK 32-20 J 12WB,2025-04-01,840.4628476819271,372.85688868326883,450.7876551994632
