API_UWI,WellName,TVD_FT,ENVInterval,LateralLength_FT,SpudDate,CompletionDate,FirstProdDate,First3MonthGas_MCF,First3MonthOil_BBL,First3MonthWater_BBL,First6MonthGas_MCF,First6MonthOil_BBL,First6MonthWater_BBL,First9MonthGas_MCF,First9MonthOil_BBL,First9MonthWater_BBL,First12MonthGas_MCF,First12MonthOil_BBL,First12MonthWater_BBL,CumGas_MCF,CumOil_BBL,CumWater_BBL,LastProdDate
42-317-45632,TEMPLE FORK 32-20 D 4WB,9207,WOLFCAMP B UPPER,13134,2023-12-13,2024-07-11,2024-07-01,127818,92767,336890,313638,144434,576538,423972,172446,750630,517334,184103,846374,654938,213081,1202566,2025-11-01
42-317-45657,TEMPLE FORK 32-20 H 8WB,9156,WOLFCAMP B UPPER,13288,2023-12-25,2024-07-22,2024-07-01,141008,138029,207117,367391,268566,405482,542614,343177,520696,710775,385732,587444,956499,439503,673573,2025-11-01
42-317-45661,TEMPLE FORK 32-20 J 12WB,9177,WOLFCAMP B UPPER,12637,2023-12-24,2024-07-22,2024-07-01,160977,141118,159901,322289,239629,273788,428910,301005,346775,516623,336896,390518,643058,381879,447273,2025-11-01
42-317-45751,TEMPLE FORK 32-20 M 16WB,9158,WOLFCAMP B UPPER,12755,2024-01-02,2024-07-23,2024-07-01,153635,94976,133973,288638,141300,200161,387218,176310,251385,513338,213698,306984,693623,249040,360921,2025-11-01
42-317-45755,TEMPLE FORK 32-20 Q 20WB,9171,WOLFCAMP B UPPER,13072,2024-01-26,2024-07-30,2024-07-01,69087,95509,86682,121122,150505,137010,161774,199616,182767,239416,253637,233658,346230,298409,276568,2025-11-01
42-317-45759,TEMPLE FORK 32-20 X 24WB,9174,WOLFCAMP B UPPER,12876,2024-01-18,2024-07-31,2024-07-01,123647,93635,160163,245120,151144,262439,360294,220711,393658,562142,274468,499307,766087,323195,601110,2025-11-01
