API_UWI,WellName,TVD_FT,ENVInterval,LateralLength_FT,SpudDate,CompletionDate,FirstProdDate,First3MonthGas_MCF,First3MonthOil_BBL,First3MonthWater_BBL,First6MonthGas_MCF,First6MonthOil_BBL,First6MonthWater_BBL,First9MonthGas_MCF,First9MonthOil_BBL,First9MonthWater_BBL,First12MonthGas_MCF,First12MonthOil_BBL,First12MonthWater_BBL,CumGas_MCF,CumOil_BBL,CumWater_BBL,LastProdDate,Norm. Cum. Water 3mo (bbl),Norm. Cum. Water 6mo (bbl),Norm. Cum. Water 9mo (bbl),Norm. Cum. Water 12mo (bbl),Norm. Cum. Oil 3mo (bbl),Norm. Cum. Gas 3mo (Mcf),Norm. Cum Oil 6mo (bbl),Norm. Cum. Gas 6mo (Mcf),Norm. Cum. Oil 9mo (bbl),Norm. Cum Gas 9mo (Mcf),Norm. Cum Oil 12mo (bbl),Norm. Cum. Gas 12mo (Mcf)
42-317-45632,TEMPLE FORK 32-20 D 4WB,9207,WOLFCAMP B UPPER,13134,2023-12-13,2024-07-11,2024-07-01,127818,92767,336890,313638,144434,576538,423972,172446,750630,517334,184103,846374,654938,213081,1202566,2025-11-01,256502.20800974572,438966.04233287653,571516.6742804934,644414.4967260546,70631.18623420132,97318.41023298311,109969.5446931628,238798.53814527183,131297.39607126542,322804.93375970767,140172.83386630123,393889.1426831126
42-317-45657,TEMPLE FORK 32-20 H 8WB,9156,WOLFCAMP B UPPER,13288,2023-12-25,2024-07-22,2024-07-01,141008,138029,207117,367391,268566,405482,542614,343177,520696,710775,385732,587444,956499,439503,673573,2025-11-01,155867.70018061408,305149.00662251655,391854.3046357616,442086.0927152318,103874.92474413004,106116.7971101746,202111.67971101747,276483.2931968694,258260.83684527394,408348.8862131246,290285.9723058399,534899.909692956
42-317-45661,TEMPLE FORK 32-20 J 12WB,9177,WOLFCAMP B UPPER,12637,2023-12-24,2024-07-22,2024-07-01,160977,141118,159901,322289,239629,273788,428910,301005,346775,516623,336896,390518,643058,381879,447273,2025-11-01,126533.98749703253,216655.85186357523,274412.43966131203,309027.4590488249,111670.49141410146,127385.45540872043,189624.91097570627,255036.005381024,238193.40033235739,339408.08736250695,266594.9196803039,408817.7573791248
42-317-45751,TEMPLE FORK 32-20 M 16WB,9158,WOLFCAMP B UPPER,12755,2024-01-02,2024-07-23,2024-07-01,153635,94976,133973,288638,141300,200161,387218,176310,251385,513338,213698,306984,693623,249040,360921,2025-11-01,105035.67228537828,156927.47941983535,197087.41669933358,240677.38141905135,74461.77969423756,120450.80360642885,110780.08624068993,226294.0023520188,138228.1458251666,303581.3406507252,167540.5723245786,402460.21168169344
42-317-45755,TEMPLE FORK 32-20 Q 20WB,9171,WOLFCAMP B UPPER,13072,2024-01-26,2024-07-30,2024-07-01,69087,95509,86682,121122,150505,137010,161774,199616,182767,239416,253637,233658,346230,298409,276568,2025-11-01,66311.19951040392,104811.81150550795,139815.6364749082,178746.94002447982,73063.80048959609,52851.13219094247,115135.40391676867,92657.58873929009,152705.01835985313,123756.1199510404,194030.75275397798,183151.7747858017
42-317-45759,TEMPLE FORK 32-20 X 24WB,9174,WOLFCAMP B UPPER,12876,2024-01-18,2024-07-31,2024-07-01,123647,93635,160163,245120,151144,262439,360294,220711,393658,562142,274468,499307,766087,323195,601110,2025-11-01,124388.7853370612,203820.28580304442,305730.0403852128,387781.1432121777,72720.56539297919,96029.04628766698,117384.28083255669,190369.68002485245,171412.70580925755,279818.2665424045,213162.47281764523,436581.2364088226
